Acetilcolina,Neurotransmisor que participa en la contracción muscular.,Bioquímica
Ácido ascórbico,Nombre químico de la vitamina C.,Vitaminas
Ácido fólico,Vitamina B9 importante para el desarrollo fetal.,General
Ácido graso,Componente básico de los lípidos.,Bioquímica
Ácido hialurónico,Polisacárido presente en tejidos conectivos.,Bioquímica
Ácido láctico,Producto del metabolismo anaeróbico.,Bioquímica
Ácido pantoténico,Vitamina B5 esencial para el metabolismo.,General
Adrenalina,Hormona que prepara al cuerpo para la acción.,Hormonas
Alanina,Aminoácido no esencial para la producción de energía.,Aminoácidos
Albumina,Proteína principal del plasma sanguíneo.,Bioquímica
Aldosterona,Hormona que regula el sodio y potasio.,Hormonas
Alergia alimentaria,Respuesta inmune exagerada a un alimento.,Patología
Alimento funcional,Alimento que aporta beneficios adicionales a la salud.,Alimentos
Alimento mínimamente procesado,Alimento que conserva la mayor parte de sus propiedades originales.,Alimentos
Alimento orgánico,Alimento producido sin pesticidas ni químicos.,Alimentos
Alimento transgénico,Alimento modificado genéticamente.,Alimentos
Alimento ultraprocesado,Alimento industrializado con muchos aditivos.,Alimentos
Almidón,Polisacárido presente en cereales y tubérculos.,Alimentos
Amilasa,Enzima que descompone almidones.,Enzimas
Aminoácido,Unidad básica de las proteínas.,Bioquímica
Anabolismo,Conjunto de procesos de síntesis en el organismo.,Bioquímica
Anemia,Disminución de la concentración de hemoglobina en la sangre.,Patología
Angiotensina,Regula la presión arterial.,Hormonas
Anorexia,Trastorno alimentario caracterizado por restricción extrema de alimentos.,Patología
Anticuerpo,Proteína que reconoce y neutraliza antígenos.,Bioquímica
Antígeno,Sustancia que provoca respuesta inmune.,Bioquímica
Antioxidante,Sustancia que ayuda a prevenir el daño celular causado por los radicales libres.,Bioquímica
Apetito,Deseo de comer.,General
Arginina,Aminoácido involucrado en la síntesis de óxido nítrico.,Aminoácidos
Aspartato,Aminoácido no esencial para el metabolismo energético.,Aminoácidos
Ayuno intermitente,Patrón alimentario que alterna periodos de ayuno y comida.,General
Ayuno,Periodo voluntario sin ingesta de alimentos.,General
Azufre,Elemento presente en algunos aminoácidos.,Minerales
Balance energético,Diferencia entre calorías consumidas y gastadas.,General
Beta-caroteno,Precursor vegetal de la vitamina A.,Alimentos
Beta-oxidación,Degradación de ácidos grasos para obtener energía.,Bioquímica
Biotina,Vitamina B7 necesaria para el metabolismo de grasas y carbohidratos.,General
Bulimia,Trastorno alimentario caracterizado por episodios de ingesta excesiva y purgas.,Patología
Calciferol,Nombre químico de la vitamina D.,Vitaminas
Calcio,Mineral necesario para huesos y dientes fuertes.,General
Calcitonina,Hormona que disminuye el calcio en sangre.,Hormonas
Caloría,Unidad de energía que se utiliza para medir el valor energético de los alimentos.,General
Carbohidrato,Principal fuente de energía para el cuerpo.,General
Carboxilasa,Enzima que añade grupos carboxilo.,Enzimas
Carnitina,Compuesto que ayuda al transporte de ácidos grasos.,Bioquímica
Caseína,Proteína principal de la leche.,Alimentos
Catabolismo,Conjunto de procesos de degradación en el organismo.,Bioquímica
Catalasa,Enzima que descompone peróxido de hidrógeno.,Enzimas
Catequina,Antioxidante presente en el té verde.,Alimentos
Celiaquía,Enfermedad autoinmune provocada por el gluten.,Patología
Celulosa,Fibra vegetal insoluble.,Alimentos
Ciclo de Krebs,Serie de reacciones para la obtención de energía.,Bioquímica
Ciclo de la urea,Proceso de eliminación de amoníaco en el hígado.,Bioquímica
Citrulina,Aminoácido no esencial involucrado en el ciclo de la urea.,Aminoácidos
Cloro,Electrolito que ayuda al equilibrio ácido-base.,Minerales
Cobalamina,Vitamina B12 esencial para la formación de glóbulos rojos.,General
Cobre,Mineral necesario para la formación de hemoglobina.,Minerales
Coenzima Q10,Compuesto que participa en la producción de energía.,Bioquímica
Colágeno,Proteína estructural de la piel y tejidos.,Bioquímica
Colágeno tipo II,Colágeno presente en cartílago.,Bioquímica
Colágeno tipo III,Colágeno presente en piel y vasos sanguíneos.,Bioquímica
Colágeno tipo I,Principal tipo de colágeno en el cuerpo.,Bioquímica
Colágeno tipo IV,Colágeno presente en membranas basales.,Bioquímica
Colágeno tipo V,Colágeno presente en tejidos fetales.,Bioquímica
Colesterol,Lípido presente en las membranas celulares y precursor de hormonas.,General
Comida alta en fibra,Alimento con alto contenido de fibra.,General
Comida alta en proteína,Alimento con alto contenido de proteína.,General
Comida antiinflamatoria,Alimento que ayuda a reducir la inflamación.,General
Comida antioxidante,Alimento que ayuda a prevenir el daño celular.,General
Comida baja en azúcar,Alimento con bajo contenido de azúcar.,General
Comida baja en grasa,Alimento con bajo contenido de grasa.,General
Comida baja en sodio,Alimento con bajo contenido de sodio.,General
Comida balanceada,Comida que contiene todos los grupos alimenticios.,General
Comida chatarra,Alimento alto en calorías y bajo en nutrientes.,General
Comida energética,Alimento que aporta energía rápidamente.,General
Comida enriquecida,Alimento al que se le han añadido vitaminas o minerales.,General
Comida fortificada,Alimento al que se le han añadido nutrientes.,General
Comida funcional,Alimento que aporta beneficios adicionales a la salud.,General
Comida funcional,Alimento que aporta beneficios adicionales a la salud.,General
Comida funcional,Alimento que aporta beneficios a la salud.,General
Comida prebiótica,Alimento que estimula el crecimiento de bacterias saludables.,General
Comida probiótica,Alimento que contiene microorganismos vivos beneficiosos.,General
Comida rápida,Alimento preparado y servido rápidamente.,General
Comida saciante,Alimento que produce sensación de saciedad.,General
Comida saludable,Alimento que contribuye al bienestar.,General
Comida sin gluten,Alimento apto para personas con celiaquía.,General
Comida sin lactosa,Alimento apto para personas con intolerancia a la lactosa.,General
Comida termogénica,Alimento que aumenta el gasto energético.,General
Comida vegana,Alimento libre de productos de origen animal.,General
Comida vegetariana,Alimento libre de carne.,General
Condroitina,Componente de cartílago.,Bioquímica
Cortisol,Hormona relacionada con el estrés y metabolismo.,Bioquímica
Cortisol,Hormona relacionada con el metabolismo y el estrés.,Hormonas
Creatina,Compuesto que almacena energía en músculos.,Bioquímica
Cromo,Mineral que interviene en el metabolismo de glucosa.,Minerales
Dermatán sulfato,Componente de piel y vasos sanguíneos.,Bioquímica
Desaminación,Eliminación de grupos amino de aminoácidos.,Bioquímica
Descarboxilasa,Enzima que elimina grupos carboxilo.,Enzimas
Deshidratación,Falta de agua en el organismo.,Patología
Deshidrogenasa,Enzima que cataliza reacciones de oxidación.,Enzimas
Desnutrición,Estado resultante de una dieta insuficiente o inadecuada.,Patología
Desnutrición proteico-energética,Déficit de proteínas y calorías en la dieta.,Patología
Diabetes,Enfermedad caracterizada por altos niveles de glucosa en sangre.,Patología
Dieta,Conjunto de alimentos y bebidas que consume una persona.,General
Dopamina,Neurotransmisor relacionado con el placer.,Bioquímica
Endocrinología,Estudio de las hormonas y glándulas endocrinas.,General
Enzima,Proteína que acelera las reacciones químicas en el organismo.,Bioquímica
Estrógeno,Hormona sexual femenina.,Hormonas
Fenilalanina,Aminoácido esencial precursor de neurotransmisores.,Aminoácidos
Fermentación,Obtención de energía sin oxígeno.,Bioquímica
Fibra,Componente vegetal que no se digiere y ayuda al tránsito intestinal.,Alimentos
Fibrina,Proteína que forma coágulos sanguíneos.,Bioquímica
Fibrinógeno,Proteína precursora de la fibrina.,Bioquímica
Filoquinona,Vitamina K1, importante para la coagulación.,Vitaminas
Fitosterol,Esterol vegetal que ayuda a reducir el colesterol.,Alimentos
Flúor,Mineral que fortalece los dientes.,Minerales
Fosfatasa,Enzima que elimina grupos fosfato.,Enzimas
Fósforo,Mineral esencial para huesos y dientes.,Minerales
Fósforo,Mineral importante para la formación ósea.,General
Fotosíntesis,Conversión de energía solar en energía química.,Bioquímica
Fructosa,Azúcar presente en frutas.,Alimentos
GABA,Neurotransmisor inhibidor.,Bioquímica
Gasto energético,Energía utilizada por el organismo.,General
Glicina,Aminoácido no esencial para la síntesis de colágeno.,Aminoácidos
Glicógeno,Forma de almacenamiento de glucosa en animales.,Bioquímica
Globulina,Grupo de proteínas del plasma sanguíneo.,Bioquímica
Glóbulo blanco,Célula sanguínea que defiende contra infecciones.,Bioquímica
Glóbulo rojo,Célula sanguínea que transporta oxígeno.,Bioquímica
Glucagón,Hormona que aumenta la glucosa en sangre.,Hormonas
Glucagón,Hormona que eleva la glucosa en sangre.,Bioquímica
Glucólisis,Proceso de degradación de glucosa para obtener energía.,Bioquímica
Gluconeogénesis,Formación de glucosa a partir de compuestos no glucídicos.,Bioquímica
Glucoproteína,Proteína con carbohidratos unidos.,Bioquímica
Glucosa,Azúcar simple que es la principal fuente de energía del cuerpo.,Bioquímica
Glutamato,Aminoácido no esencial y neurotransmisor.,Aminoácidos
Glutamina,Aminoácido importante para el sistema inmune.,Aminoácidos
Glutatión peroxidasa,Enzima antioxidante.,Enzimas
Glutatión reductasa,Enzima antioxidante.,Enzimas
Gluten,Proteína presente en cereales como trigo, cebada y centeno.,Alimentos
Grasa,Nutriente que almacena energía y protege órganos.,General
Grelina,Hormona que estimula el hambre.,Bioquímica
Hambre,Necesidad fisiológica de alimentos.,General
HDL,Lipoproteína de alta densidad (colesterol bueno).,Bioquímica
Hemoglobina,Proteína de los glóbulos rojos que transporta oxígeno.,Bioquímica
Heparina,Anticoagulante natural.,Bioquímica
Hierro,Mineral esencial para la formación de hemoglobina.,General
Hipercolesterolemia,Niveles elevados de colesterol en sangre.,Patología
Hiperlipidemia,Niveles elevados de lípidos en sangre.,Patología
Hipertensión,Presión arterial elevada.,Patología
Hipertrigliceridemia,Niveles elevados de triglicéridos en sangre.,Patología
Hipovitaminosis,Déficit de vitaminas.,Patología
Histamina,Compuesto involucrado en la respuesta inmune.,Bioquímica
Histidina,Aminoácido esencial para el crecimiento.,Aminoácidos
Homeostasis,Equilibrio de las funciones corporales.,General
Homeostasis glucémica,Mantenimiento del nivel de glucosa en sangre.,General
Hormona del crecimiento,Estimula el crecimiento y desarrollo.,Hormonas
Índice de masa corporal,Relación entre peso y altura usada para evaluar obesidad.,General
Índice glucémico,Medida de la rapidez con la que un alimento eleva el nivel de glucosa en sangre.,Alimentos
Insulina,Hormona que disminuye la glucosa en sangre.,Hormonas
Insulina,Hormona que regula el nivel de glucosa en sangre.,Bioquímica
Intolerancia alimentaria,Reacción adversa a ciertos alimentos.,Patología
Isoflavona,Compuesto vegetal con actividad estrogénica.,Alimentos
Isoleucina,Aminoácido esencial para la energía muscular.,Aminoácidos
Isómero,Molécula con la misma fórmula pero diferente estructura.,Bioquímica
Lactasa,Enzima que descompone la lactosa.,Enzimas
Lactosa,Azúcar presente en la leche y productos lácteos.,Alimentos
LDL,Lipoproteína de baja densidad (colesterol malo).,Bioquímica
Leptina,Hormona que regula el apetito.,Bioquímica
Leucina,Aminoácido esencial para la síntesis proteica.,Aminoácidos
Licopeno,Antioxidante presente en tomates.,Alimentos
Linfocito,Tipo de célula del sistema inmune.,Bioquímica
Lipasa,Enzima que descompone grasas.,Enzimas
Lípido,Componente graso de los alimentos y del cuerpo humano.,General
Lipogénesis,Síntesis de grasas a partir de carbohidratos.,Bioquímica
Lipólisis,Degradación de grasas para obtener energía.,Bioquímica
Lipoproteína,Lípido unido a proteína para el transporte en sangre.,Bioquímica
Lisina,Aminoácido esencial para el crecimiento y reparación.,Aminoácidos
Luteína,Carotenoide antioxidante presente en vegetales.,Alimentos
Macrófago,Célula que fagocita patógenos.,Bioquímica
Macronutriente,Nutriente requerido en grandes cantidades para el funcionamiento del organismo (carbohidratos, proteínas, grasas).,General
Magnesio,Mineral necesario para la función muscular y nerviosa.,General
Magnesio,Mineral necesario para la función muscular y nerviosa.,Minerales
Malnutrición,Estado nutricional inadecuado.,Patología
Maltasa,Enzima que descompone maltosa.,Enzimas
Maltosa,Azúcar resultante de la digestión del almidón.,Alimentos
Manganeso,Mineral que participa en el metabolismo óseo.,Minerales
Melatonina,Hormona que regula el sueño.,Hormonas
Metabolismo basal,Energía mínima necesaria para mantener funciones vitales.,General
Metabolismo,Conjunto de procesos químicos que ocurren en el cuerpo para mantener la vida.,Bioquímica
Metionina,Aminoácido esencial que contiene azufre.,Aminoácidos
Micronutriente,Nutriente requerido en pequeñas cantidades, como vitaminas y minerales.,General
Mineral,Nutriente inorgánico necesario para diversas funciones fisiológicas.,General
Mioglobina,Proteína que almacena oxígeno en músculos.,Bioquímica
Molibdeno,Mineral necesario en pequeñas cantidades.,Minerales
Mucopolisacárido,Polisacárido complejo en tejidos conectivos.,Bioquímica
Niacina,Vitamina B3 esencial para el metabolismo energético.,General
Noradrenalina,Hormona relacionada con el estrés.,Hormonas
Obesidad,Acumulación excesiva de grasa corporal.,Patología
Omega 3,Ácidos grasos esenciales para la salud cardiovascular.,General
Omega 6,Ácidos grasos esenciales para el desarrollo cerebral.,General
Ornitina,Aminoácido no esencial involucrado en el ciclo de la urea.,Aminoácidos
Osteoporosis,Enfermedad que debilita los huesos.,Patología
Oxitocina,Hormona que estimula las contracciones uterinas.,Hormonas
Paratohormona,Hormona que regula el calcio en sangre.,Hormonas
Pepsina,Enzima digestiva que descompone proteínas.,Enzimas
Peroxidasa,Enzima que descompone peróxidos.,Enzimas
Piridoxina,Vitamina B6 importante para el metabolismo de proteínas.,General
Plaqueta,Fragmento celular que interviene en la coagulación.,Bioquímica
Polifenol,Compuesto antioxidante en frutas y verduras.,Alimentos
Potasio,Electrolito esencial para la función muscular.,Minerales
Potasio,Electrolito esencial para la función muscular y nerviosa.,General
Prebiótico,Componente alimentario que estimula el crecimiento de bacterias saludables.,Alimentos
Prebiótico,Ingrediente alimentario que estimula bacterias saludables.,Alimentos
Probiótico,Microorganismo que aporta beneficios a la salud intestinal.,Alimentos
Probiótico,Microorganismo vivo que aporta beneficios a la salud.,Alimentos
Progesterona,Hormona sexual femenina.,Hormonas
Prolactina,Hormona que estimula la producción de leche.,Hormonas
Prolina,Aminoácido no esencial para la estructura del colágeno.,Aminoácidos
Proteína,Macronutriente esencial para la reparación y construcción de tejidos.,General
Proteoglicano,Macromolécula de proteínas y polisacáridos.,Bioquímica
Queratán sulfato,Componente de cartílago y córnea.,Bioquímica
Quercetina,Flavonoide antioxidante presente en cebollas.,Alimentos
Quilomicrón,Lipoproteína que transporta grasas.,Bioquímica
Quilomicrón remanente,Restos de quilomicrones tras liberar triglicéridos.,Bioquímica
Quimotripsina,Enzima digestiva pancreática.,Enzimas
Radical libre,Molécula inestable que puede dañar células.,Bioquímica
Renina,Enzima que coagula la leche.,Enzimas
Renina,Enzima que regula la presión arterial.,Hormonas
Respiración celular,Proceso de obtención de energía en las células.,Bioquímica
Resveratrol,Antioxidante presente en uvas y vino tinto.,Alimentos
Retinol,Forma activa de la vitamina A.,Vitaminas
Riboflavina,Vitamina B2 que ayuda a liberar energía de los alimentos.,General
Sacarasa,Enzima que descompone sacarosa.,Enzimas
Sacarosa,Azúcar común de mesa.,Alimentos
Saciedad,Sensación de plenitud tras comer.,General
Sarcopenia,Pérdida de masa muscular en adultos mayores.,Patología
Selenio,Antioxidante que protege las células.,Minerales
Serina,Aminoácido no esencial para el metabolismo.,Aminoácidos
Serotonina,Neurotransmisor relacionado con el estado de ánimo.,Bioquímica
Sobrepeso,Exceso de peso respecto a la altura.,Patología
Sodio,Electrolito fundamental para el equilibrio hídrico.,Minerales
Sodio,Electrolito importante para el equilibrio de líquidos.,General
Superalimento,Alimento con alta densidad nutricional.,Alimentos
Superóxido dismutasa,Enzima antioxidante.,Enzimas
Tanino,Compuesto vegetal con propiedades astringentes.,Alimentos
term,definition,category
Termocaloría,Unidad de medida de energía.,General
Termogénesis,Producción de calor en el organismo.,General
Testosterona,Hormona sexual masculina.,Hormonas
Tiamina,Vitamina B1 necesaria para el metabolismo de carbohidratos.,General
Tirosina,Aminoácido no esencial precursor de hormonas.,Aminoácidos
Tiroxina,Hormona tiroidea que regula el metabolismo.,Hormonas
Tocoferol,Nombre químico de la vitamina E.,Vitaminas
Transaminación,Transferencia de grupos amino entre aminoácidos.,Bioquímica
Transaminasa,Enzima que transfiere grupos amino.,Enzimas
Treonina,Aminoácido esencial para la formación de colágeno.,Aminoácidos
Triglicérido,Principal tipo de grasa en el cuerpo.,Bioquímica
Tripsina,Enzima digestiva que descompone proteínas en el intestino.,Enzimas
Triptofano,Aminoácido esencial precursor de serotonina.,Aminoácidos
Triyodotironina,Hormona tiroidea activa.,Hormonas
Valina,Aminoácido esencial para la recuperación muscular.,Aminoácidos
Vasopresina,Hormona que regula el equilibrio hídrico.,Hormonas
Vitamina A,Vitamina esencial para la visión y el sistema inmune.,General
Vitamina B12,Vitamina hidrosoluble esencial para la formación de glóbulos rojos.,Vitaminas
Vitamina B1,Vitamina hidrosoluble esencial para el metabolismo de carbohidratos.,Vitaminas
Vitamina B2,Vitamina hidrosoluble que ayuda a liberar energía de los alimentos.,Vitaminas
Vitamina B3,Vitamina hidrosoluble importante para la piel y el sistema nervioso.,Vitaminas
Vitamina B5,Vitamina hidrosoluble esencial para el metabolismo energético.,Vitaminas
Vitamina B6,Vitamina hidrosoluble necesaria para el metabolismo de proteínas.,Vitaminas
Vitamina B7,Vitamina hidrosoluble importante para el metabolismo de grasas.,Vitaminas
Vitamina B9,Vitamina hidrosoluble clave en el desarrollo fetal.,Vitaminas
Vitamina,Compuesto orgánico esencial en pequeñas cantidades para el metabolismo.,General
Vitamina C,Vitamina antioxidante importante para la piel y defensas.,General
Vitamina D,Vitamina que ayuda a la absorción de calcio.,General
Vitamina E,Antioxidante que protege las membranas celulares.,General
Vitamina K,Vitamina necesaria para la coagulación sanguínea.,General
VLDL,Lipoproteína de muy baja densidad.,Bioquímica
Yodo,Elemento esencial para la síntesis de hormonas tiroideas.,Minerales
Zinc,Mineral involucrado en la función inmune.,General
